Code	Grn	GrnX	GrnY
10086	51	2223.675	1079.321
10086	63	2224	1085.494
10086	44	2223.911	1091.238
10086	53	2224.434	1097.406
10086	55	2223.544	1103
10086	38	2224.042	1109.424
10086	42	2223.942	1115.012
10086	81	2223.95	1120.956
10086	75	2223.958	1126.9
10086	70	2224	1132.5
10086	38	2223.974	1138.787
10086	53	2223.981	1144.731
10086	44	2223.989	1150.674
10086	48	2223.997	1156.618
10086	128	2224.005	1162.562
10086	78	2224.021	1174.449
10086	38	2224.029	1180.393
10086	42	2223.689	1186.318
10091	39	2224.044	1192.28
10091	37	2224.454	1198.439
10091	87	2224.06	1204.167
10091	48	2224.068	1210.111
10091	55	2224.632	1216.298
10091	23	2223.5	1228
10091	43	2224.1	1233.886
10091	41	2224.107	1239.829
10091	35	2224.115	1245.773
10091	42	2224.123	1251.717
10091	54	2224	1257.49
10091	31	2224.139	1263.604
10091	59	2224.147	1269.548
10091	63	2224.155	1275.491
10091	48	2224.163	1281.435
10091	38	2224.17	1287.379
10091	15	2224.338	1293.308
10091	40	2224.186	1299.266
10091	43	2224.309	1304.98
10092	80	2224.49	1311
10092	41	2224.21	1317.097
10092	39	2224.218	1323.041
10092	43	2224.226	1328.984
10092	52	2224	1334.539
10092	67	2224.241	1340.872
10092	38	2224.249	1346.815
10092	69	2224.257	1352.759
10092	30	2224.265	1358.703
10092	35	2224.273	1364.646
10093	70	2224.281	1370.59
10093	58	2224.288	1376.534
10093	35	2224.296	1382.477
10093	56	2224.304	1388.421
10093	50	2224.312	1394.365
10093	30	2224.32	1400.308
10093	53	2224.328	1406.252
10093	47	2224.336	1412.196
10093	34	2224.344	1418.139
10093	34	2224.506	1424
10093	36	2224.36	1429.674
10093	45	2224.367	1435.97
10093	26	2224.375	1441.914
10093	105	2224.383	1447.858
10093	68	2224.391	1453.801
10093	32	2224.498	1459.49
10093	37	2224.406	1465.689
10093	33	2224.414	1471.632
10093	179	2224.422	1477.576
10093	21	2224.49	1483
10093	52	2224.438	1489.463
10095	105	2224.506	1495.498
10095	49	2224.454	1501.351
10095	36	2224.462	1507.294
10095	67	2224.469	1513.238
10095	67	2224.477	1519.182
10095	66	2224.485	1525.125
10095	69	2224.493	1531.069
10095	63	2224.501	1537.013
10095	49	2224.509	1542.956
10095	57	2224.677	1548.649
10095	26	2224.525	1554.844
10095	54	2224.532	1560.787
10095	61	2224.54	1566.731
10095	34	2224	1572.482
10095	36	2224.556	1578.618
10097	49	2224	1584.509
10097	27	2224.572	1590.506
10097	42	2224.58	1596.449
10097	42	2224.595	1608.337
10097	52	2224.603	1614.281
10097	66	2224.611	1620.224
10097	30	2224.665	1626.319
10097	41	2224.627	1632.111
10097	28	2224.635	1638.055
10097	54	2224.643	1643.999
10097	54	2224.651	1649.943
10097	40	2224.658	1655.886
10097	57	2224.37	1661.685
10097	67	2224.69	1679.661
10097	62	2224.698	1685.604
10097	38	2224.706	1691.548
10100	47	2224.714	1697.492
10100	30	2224.721	1703.436
10100	44	2224.729	1709.379
10100	36	2224.737	1715.323
10100	35	2224.745	1721.266
10100	59	2224.753	1727.21
10100	39	2224.761	1733.154
10100	77	2224.769	1739.098
10100	23	2224.776	1745.041
10100	54	2224.784	1750.985
10100	63	2224.792	1756.929
10100	54	2224	1762.487
10100	38	2224.808	1768.816
10100	57	2224.816	1774.76
10100	48	2224.97	1780.5
10100	31	2224.832	1786.647
10100	77	2224.839	1792.591
10100	40	2224.847	1798.534
10100	43	2224.855	1804.478
10102	159	2224.863	1810.422
10102	108	2224.538	1816.463
10102	163	2224.879	1822.309
10102	124	2224.887	1828.253
10102	81	2224.895	1834.196
10102	82	2224.902	1840.14
10102	67	2224.91	1846.084
10102	60	2224.918	1852.027
10102	256	2224.926	1857.971
10102	99	2224.934	1863.915
10102	139	2224.942	1869.858
10102	84	2224.95	1875.802
10102	86	2224.958	1881.746
10102	132	2224.965	1887.689
10102	92	2225	1893.489
10102	124	2224.989	1905.52
10102	185	2224.997	1911.464
10102	157	2225.005	1917.408
10102	170	2225.013	1923.351
10102	98	2225.021	1929.295
10102	126	2225	1935.492
10102	78	2225.036	1941.182
10110	138	2225.044	1947.126
10110	31	2224.693	1953.335
10110	46	2225.06	1959.013
10110	32	2225.068	1964.957
10110	69	2225.076	1970.901
10110	61	2225.083	1976.844
10110	45	2225.091	1982.788
10110	47	2225.099	1988.732
10110	57	2225.107	1994.675
10110	42	2225.115	2000.619
10110	39	2225.468	2006.474
10110	40	2225.131	2012.506
10110	39	2225	2018.47
10110	85	2225.146	2024.394
10110	41	2225.154	2030.337
10110	40	2225.162	2036.281
10110	111	2225.33	2042.638
10110	65	2225.178	2048.168
10110	32	2225.186	2054.112
10110	33	2225.194	2060.056
10110	52	2225.201	2065.999
10110	32	2225.209	2071.943
10110	160	2225.217	2077.887
10110	41	2225.225	2083.83
10114	32	2225.48	2095.55
10114	34	2225.508	2101
10114	22	2225	2113.496
10114	33	2225.488	2119.49
10114	37	2225.503	2131.523
10114	34	2217.522	197
10114	54	2217.53	202.6812
10114	53	2217.546	214.5685
10114	78	2217.538	220.485
10114	27	2217.562	226.4558
10114	40	2217.569	232.3995
10114	48	2217.688	238.3531
10114	59	2217.585	244.2868
10114	43	2217.593	250.2305
10114	47	2217.601	256.1742
10114	33	2217.609	262.1179
10114	91	2217.617	268.0615
10114	27	2217.625	274.0052
10114	53	2217.632	279.9489
10114	52	2217.648	291.8362
10114	41	2217.656	297.7799
10121	292	2217.664	303.7235
10121	54	2217.672	309.6672
10121	63	2217.68	315.6109
10121	45	2217.688	321.5545
10121	30	2217.695	327.4982
10121	37	2217.703	333.4419
10121	129	2217.711	339.3856
10121	59	2217.647	345.2899
10121	32	2217.727	351.2729
10121	64	2217.735	357.2166
10121	53	2217.743	363.1602
10121	73	2217.75	369.1039
10121	34	2217.758	375.0476
10121	42	2217.766	380.9912
10121	53	2217.774	386.9349
10121	44	2217.782	392.8786
10121	49	2217.79	398.8223
10121	69	2217.798	404.7659
10128	39	2217.806	410.7096
10128	35	2217.534	416.5629
10128	73	2217.821	422.5969
10128	61	2217.829	428.5406
10128	64	2217.837	434.4843
10128	66	2217.707	440.3566
10128	46	2217.853	446.3716
10128	59	2217.861	452.3153
10128	53	2217.868	458.2589
10128	45	2217.876	464.2026
10128	76	2218.307	470.2934
10128	57	2217.892	476.09
10128	15	2217.9	482.0336
10128	58	2217.908	487.9773
10128	136	2217.916	493.921
10128	66	2217.924	499.8646
10128	45	2217.931	505.8083
10128	63	2217.939	511.752
10128	34	2217.947	517.6956
10128	47	2217.963	529.583
10128	47	2218.442	535
10128	110	2217.979	541.4703
10128	67	2217.987	547.414
10128	51	2217.994	553.3577
10128	48	2218.002	559.3013
10128	36	2218.01	565.245
10128	62	2218.018	571.1887
10128	34	2218.026	577.1323
10128	143	2218.034	583.076
10129	150	2218.306	588.6693
10129	50	2218.05	594.9634
10129	42	2218.057	600.907
10129	43	2218.081	618.738
10129	89	2218.089	624.6817
10129	52	2218.105	636.569
10129	52	2218.113	642.5127
10129	85	2218.12	648.4564
10129	74	2218.128	654.4
10129	66	2218.136	660.3437
10129	67	2218.144	666.2874
10129	156	2218.152	672.2311
10129	66	2218.16	678.1747
10129	35	2218.168	684.1184
10129	48	2218.176	690.0621
10129	66	2218.183	696.0057
10129	23	2218.028	701.5234
10129	26	2218.199	707.8931
10129	46	2218.207	713.8367
10129	26	2218.215	719.7804
10129	49	2218.223	725.7241
10129	57	2218.231	731.6677
10129	64	2218.239	737.6115
10129	95	2218.246	743.5551
10129	41	2218.254	749.4988
10129	69	2218.262	755.4424
10131	40	2218.27	761.3861
10131	84	2218.472	767.4455
10131	85	2218.286	773.2734
10131	51	2218.294	779.2171
10131	88	2218.302	785.1608
10131	38	2218.309	791.1044
10131	34	2218.324	797.3194
10131	66	2218.325	802.9918
10131	35	2218.333	808.9355
10131	50	2218.341	814.8792
10131	64	2218.349	820.8228
10131	17	2218	826.5121
10131	41	2218.365	832.7101
10131	34	2218.372	838.6538
10131	28	2218.38	844.5975
10131	42	2218.326	850.3035
10131	36	2218.396	856.4848
10131	38	2218.027	862.4824
10131	56	2218.419	874.3158
10131	59	2218.427	880.2595
10131	54	2218.499	886.4673
10131	31	2218.443	892.1469
10131	39	2218.451	898.0905
10131	99	2218.459	904.0342
10131	51	2218.467	909.9778
10131	61	2218.475	915.9215
10131	74	2218.515	921.5535
10132	106	2218.49	927.8088
10132	104	2218.498	933.7525
10132	84	2218.506	939.6962
10132	29	2218.514	945.6398
10132	63	2218.522	951.5836
10132	18	2218.53	957.5272
10132	93	2218.538	963.4709
10132	61	2218.545	969.4146
10132	102	2218.553	975.3582
10132	67	2218.561	981.3019
10132	73	2218.569	987.2455
10132	51	2218.577	993.1892
10132	48	2218.585	999.1329
10132	72	2218.53	1004.976
10132	91	2218.601	1011.02
10132	74	2218.5	1017.004
10132	71	2218.624	1028.851
10132	166	2218.632	1034.795
10132	98	2218.64	1040.739
10132	76	2218.648	1046.682
10132	207	2218.656	1052.626
10132	69	2218.513	1059
10132	37	2218.671	1064.513
10132	89	2218.527	1070.495
10132	68	2218.687	1076.401
10132	60	2218.695	1082.344
10132	80	2218.703	1088.288
10132	75	2218.711	1094.232
10132	130	2218.719	1100.175
10132	77	2218.727	1106.119
10132	65	2218.542	1112.027
10132	118	2218.552	1118.477
10132	65	2219.486	1123.525
10133	601	2218.758	1129.894
10133	468	2218.766	1135.837
10133	517	2218.774	1141.781
10133	358	2218.781	1147.725
10133	450	2218.79	1153.668
10133	517	2218.797	1159.612
10133	521	2218.805	1165.556
10133	500	2218.813	1171.499
10133	345	2218.821	1177.443
10133	465	2218.829	1183.387
10133	485	2218.837	1189.33
10133	471	2218.483	1194.517
10133	493	2218.853	1201.218
10133	490	2218.955	1207.441
10133	537	2218.868	1213.105
10133	413	2218.876	1219.049
10133	479	2218.884	1224.992
10133	652	2218.892	1230.936
10133	358	2218.513	1237
10133	412	2218.907	1242.823
10133	766	2218.916	1248.767
10133	520	2218.923	1254.711
10133	472	2218.931	1260.654
10133	610	2218.939	1266.598
10133	437	2218.947	1272.542
10133	328	2218.963	1284.429
10133	516	2218.97	1290.373
10136	39	2219.462	1296
10136	114	2218.986	1302.26
10136	62	2219.322	1308.318
10136	105	2219.002	1314.147
10136	55	2219.01	1320.091
10136	122	2219.018	1326.035
10136	84	2219.556	1331.556
10136	65	2219.033	1337.922
10136	78	2219.041	1343.866
10136	114	2219.049	1349.809
10136	85	2219.057	1355.753
10136	40	2219.065	1361.697
10136	78	2219.073	1367.64
10136	89	2219.081	1373.584
10136	114	2219.089	1379.528
10136	47	2219.096	1385.471
10138	82	2219	1391.511
10138	50	2219.112	1397.359
10138	39	2219.12	1403.302
10138	72	2219.128	1409.246
10138	66	2219.144	1421.133
10138	50	2219.152	1427.077
10138	83	2219.159	1433.021
10138	77	2219.167	1438.964
10138	22	2219.175	1444.908
10138	62	2219.058	1450.539
10138	41	2219.191	1456.795
10138	61	2219.199	1462.739
10138	43	2219.207	1468.683
10138	54	2219.215	1474.626
10138	40	2219.222	1480.57
10138	69	2219.23	1486.514
10138	55	2218.708	1492.387
10138	24	2219.246	1498.401
10142	430	2219.254	1504.345
10142	379	2219.262	1510.288
10142	896	2219.27	1516.232
10142	420	2219.278	1522.176
10142	562	2219.285	1528.12
10142	471	2220	1534.475
10142	570	2219.301	1540.007
10142	711	2219.309	1545.95
10142	692	2219.317	1551.894
10142	248	2219.325	1557.838
10142	706	2219.333	1563.781
10142	733	2219.341	1569.725
10142	260	2219.348	1575.669
10142	594	2219.356	1581.613
10142	329	2219.372	1593.5
10142	654	2219.38	1599.443
10142	680	2219.388	1605.387
10142	497	2219.491	1611.466
10142	505	2219.404	1617.275
10142	630	2219.411	1623.218
10142	572	2219.419	1629.162
10142	1134	2219.506	1635
10142	232	2219.435	1641.049
10142	904	2219.443	1646.993
10142	566	2219.451	1652.937
10142	719	2219.494	1659
10142	318	2219.466	1664.824
10142	754	2219.474	1670.768
10142	333	2219.332	1676.655
10142	612	2219.512	1682.512
10142	927	2219.674	1694.31
10142	840	2219.513	1700.506
10142	889	2219.521	1706.43
10142	657	2219.529	1712.373
10142	742	2219.537	1718.317
10148	31	2219.545	1724.261
10148	48	2219.561	1736.148
10148	78	2219.569	1742.092
10148	64	2219.548	1748.412
10148	17	2219.584	1753.979
10148	41	2219.592	1759.923
10148	53	2219.6	1765.866
10148	56	2219.608	1771.81
10148	37	2219.616	1777.754
10148	47	2219.624	1783.697
10148	58	2219.632	1789.641
10148	73	2219.64	1795.585
10154	84	2219.55	1801.479
10154	37	2219.655	1807.472
10154	85	2219.663	1813.416
10154	46	2219.671	1819.359
10154	9	2219.679	1825.303
10154	55	2219.687	1831.247
10154	50	2219.344	1837.339
10154	120	2219.703	1843.134
10154	41	2219.71	1849.078
10154	29	2219.718	1855.021
10154	97	2219.669	1861.002
10154	34	2219.734	1866.909
10154	57	2219.742	1872.852
10154	70	2219.75	1878.796
10154	37	2219.758	1884.74
10154	57	2219.766	1890.683
10154	73	2219.773	1896.627
10154	28	2219.781	1902.571
10154	102	2219.797	1914.458
10154	28	2219.805	1920.402
10154	48	2219.813	1926.345
10154	55	2219.821	1932.289
10156	51	2219.829	1938.233
10156	42	2219.506	1945.002
10156	46	2219.844	1950.12
10156	32	2219.852	1956.064
10156	67	2219.86	1962.007
10156	51	2220	1967.547
10156	62	2219.876	1973.895
10156	63	2219.884	1979.838
10156	49	2219.892	1985.782
10156	36	2219.899	1991.726
10156	37	2219.907	1997.669
10156	47	2219.702	2003.328
10156	43	2219.923	2009.557
10156	57	2219.683	2015.344
10156	59	2219.939	2021.444
10156	23	2219.947	2027.388
10161	135	2219.954	2033.331
10161	237	2219.962	2039.275
10161	103	2219.97	2045.219
10161	238	2219.978	2051.162
10161	140	2219.986	2057.106
10161	169	2219.994	2063.05
10161	110	2220.002	2068.993
10161	189	2219.685	2075.32
10161	194	2220.523	2080.523
10161	85	2220.025	2086.824
10161	96	2220.033	2092.768
10161	128	2220.041	2098.712
10161	112	2219.521	2104.521
10161	156	2220.057	2110.599
10161	195	2220.065	2116.543
10161	185	2220.073	2122.486
10161	158	2220.08	2128.43
10161	88	2212.49	205.5573
10161	85	2212.338	211.6189
10161	201	2212.346	217.5626
10161	93	2212.354	223.5062
